CRIME_TYPE,INCIDENT_DATE,INCIDENT_UNIQUE_IDENTIFIER,INCIDENT_REASON,LOCATION_DISTRICT,LOCATION_FULL_STREET_ADDRESS_OR_INTERSECTION,LOCATION_CITY,LOCATION_STATE
BURG - AUTO,1/19/17 19:05,17-901193,BURGLARY-AUTO,08X,2600 TELEGRAPH AV,Oakland,CA
BURG - AUTO,1/19/17 17:30,17-901194,BURGLARY-AUTO,31Y,200 HEGENBERGER RD,Oakland,CA
STOLEN VEHICLE,1/5/17 15:00,17-001226,VEHICLE THEFT - AUTO,08X,2700 BROADWAY,Oakland,CA
PETTY THEFT,1/20/17 12:11,17-901195,THEFT,30X,8100 INTERNATIONAL BLVD,Oakland,CA
STOLEN VEHICLE,11/23/16 7:00,16-062449,VEHICLE THEFT - AUTO,26X,5000 SAN LEANDRO ST,Oakland,CA
STOLEN VEHICLE,1/5/17 18:00,17-000967,VEHICLE THEFT - AUTO,21Y,3000 LYNDE ST,Oakland,CA
STOLEN VEHICLE,1/5/17 22:45,17-000972,VEHICLE THEFT - AUTO,03Y,9TH ST & CLAY ST,Oakland,CA
STOLEN VEHICLE,1/5/17 0:45,17-000984,VEHICLE THEFT - AUTO,17X,1900 13TH AV,Oakland,CA
PETTY THEFT,12/28/16 19:30,16-917731,THEFT,01X,400 OAK ST,Oakland,CA
STOLEN VEHICLE,1/5/17 19:00,17-000988,VEHICLE THEFT - AUTO,32Y,10000 VOLTAIRE AV,Oakland,CA
VANDALISM,1/19/17 18:00,17-901196,VANDALISM,08X,2400 WEBSTER ST,Oakland,CA
BURG - AUTO,1/17/17 11:40,17-901197,BURGLARY-AUTO,31X,400 HEGENBERGER RD,Oakland,CA
VANDALISM,1/11/17 15:15,17-001907,VANDALISM-$400+,05X,900 16TH ST,Oakland,CA
ROBBERY,1/12/17 0:00,17-001961,ROBBERY-FIREARM,18Y,2100 14TH AV,Oakland,CA
BURG - AUTO,1/11/17 23:20,17-001962,BURGLARY-AUTO,03X,900 WEBSTER ST,Oakland,CA
BURG - AUTO,1/12/17 11:45,17-002102,BURGLARY-AUTO,13Z,6300 MORAGA AV,Oakland,CA
ROBBERY,1/12/17 15:05,17-002106,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",17Y,3100 BEAUMONT AV,Oakland,CA
STOLEN VEHICLE,1/6/17 17:20,17-001379,VEHICLE THEFT - AUTO,08X,400 ORANGE ST,Oakland,CA
BURG - AUTO,1/11/17 13:00,17-002107,BURGLARY-FORCIBLE ENTRY,07X,3600 MANDELA PKWY,Oakland,CA
STOLEN VEHICLE,1/11/17 22:00,17-002108,VEHICLE THEFT - AUTO,20X,2700 E 17TH ST,Oakland,CA
BURG - RESIDENTIAL,1/12/17 5:00,17-002109,BURGLARY-NO FORCE,35X,2300 98TH AV,Oakland,CA
STOLEN VEHICLE,1/12/17 17:06,17-002111,VEHICLE THEFT - AUTO,26Y,900 73RD AV,Oakland,CA
STOLEN VEHICLE,12/21/16 12:00,16-067864,VEHICLE THEFT - AUTO,04X,1700 BROADWAY,Oakland,CA
DOMESTIC VIOLENCE,12/27/16 23:00,16-068509,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27Y,5400 COLE ST,Oakland,CA
STOLEN VEHICLE,1/12/17 17:15,17-002112,VEHICLE THEFT - AUTO,25X,4500 MERRILL AV,Oakland,CA
BURG - RESIDENTIAL,1/5/17 8:00,17-000938,BURGLARY-NO FORCE,15X,400 MERRITT AV,Oakland,CA
VANDALISM,1/19/17 20:00,17-901186,VANDALISM,12X,48TH ST & SHATTUCK AV,Oakland,CA
BURG - RESIDENTIAL,1/5/17 6:00,17-000942,BURGLARY-FORCIBLE ENTRY,34X,9200 BIRCH ST,Oakland,CA
ROBBERY,1/3/17 8:15,17-001213,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",08X,3000 RICHMOND BLVD,Oakland,CA
BURG - COMMERCIAL,1/7/17 12:00,17-001934,ATTEMPTED BURGLARY,32X,9900 INTERNATIONAL BLVD,Oakland,CA
FRAUD,1/19/17 18:30,17-901187,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,26X,4800 COLISEUM WY,Oakland,CA
BURG - COMMERCIAL,1/5/17 23:30,17-000953,BURGLARY-FORCIBLE ENTRY,22X,3300 FRUITVALE AV,Oakland,CA
BURG - AUTO,1/19/17 20:55,17-901188,BURGLARY-AUTO,08X,300 24TH ST,Oakland,CA
BURG - AUTO,1/19/17 17:44,17-901189,BURGLARY-AUTO,08X,3900 BROADWAY,Oakland,CA
BURG - AUTO,1/19/17 19:00,17-901190,BURGLARY-AUTO,12X,300 40TH ST,Oakland,CA
STOLEN VEHICLE,1/5/17 14:00,17-000961,VEHICLE THEFT - OTHER VEHICLES,34X,9200 CHERRY ST,Oakland,CA
GRAND THEFT,1/20/17 4:00,17-901191,GRAND THEFT,04X,600 THOMAS L. BERKLEY WY,Oakland,CA
STOLEN VEHICLE,11/23/16 8:00,16-062448,VEHICLE THEFT - AUTO,17Y,1000 BAYVIEW AV,Oakland,CA
ROBBERY,12/10/16 8:37,16-065161,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",17X,10TH AV & E 18TH ST,Oakland,CA
STOLEN VEHICLE,11/18/16 20:30,16-061851,SC STOLEN VEHICLE - AUTO,21X,2300 E 26TH ST,Oakland,CA
VANDALISM,12/10/16 8:31,16-065163,VANDALISM,29X,2300 55TH AV,Oakland,CA
BURG - RESIDENTIAL,12/10/16 8:30,16-065166,BURGLARY-FORCIBLE ENTRY,35X,2400 94TH AV,Oakland,CA
ROBBERY,12/10/16 10:22,16-065168,ROBBERY-FIREARM,27X,5400 BANCROFT AV,Oakland,CA
BURG - AUTO,12/10/16 0:00,16-065171,BURGLARY-AUTO,32X,10100 INTERNATIONAL BLVD,Oakland,CA
RECOVERED O/S STOLEN,12/10/16 11:17,16-065182,VEHICLE THEFT - AUTO,15X,600 CLEVELAND AV,Oakland,CA
DISORDERLY CONDUCT,12/10/16 11:58,16-065184,DISTURB THE PEACE,03Y,400 7TH ST,Oakland,CA
STOLEN VEHICLE,12/10/16 12:20,16-065188,VEHICLE THEFT - AUTO,10Y,800 47TH ST,Oakland,CA
VANDALISM,12/10/16 20:36,16-065261,VANDALISM,02Y,1400 7TH ST,Oakland,CA
MISDEMEANOR ASSAULT,12/10/16 21:00,16-065262,SC BATTERY,34X,90TH AV & OLIVE ST,Oakland,CA
STOLEN VEHICLE,12/10/16 14:30,16-065243,VEHICLE THEFT - AUTO,18Y,3000 22ND AV,Oakland,CA
PETTY THEFT,11/14/16 8:40,16-915907,THEFT,11X,5700 MACCALL ST,Oakland,CA
FELONY ASSAULT,1/5/17 20:00,17-000904,CARJACKING WITH FIREARM,06X,APGAR ST & MARTIN LUTHER KING JR WY,Oakland,CA
VANDALISM,1/5/17 21:42,17-000907,VANDALISM,07X,2900 MAGNOLIA ST,Oakland,CA
PETTY THEFT,1/5/17 19:47,17-000912,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,28X,3400 HIGH ST,Oakland,CA
STOLEN VEHICLE,1/5/17 9:00,17-000913,VEHICLE THEFT - AUTO,35Y,3100 HOOD ST,Oakland,CA
PETTY THEFT,12/29/16 0:00,16-068673,THEFT,29X,6100 MONADNOCK WY,Oakland,CA
BURG - AUTO,1/17/17 13:00,17-901179,BURGLARY-AUTO,31Y,ENTERPRISE WY & 85TH AV,Oakland,CA
THREATS,1/5/17 16:09,17-000920,THREAT CRIME:INT:TERRORIZE,34X,1700 84TH AV,Oakland,CA
PETTY THEFT,1/19/17 14:15,17-901180,THEFT,08X,400 29TH ST,Oakland,CA
FRAUD,12/28/16 12:15,17-900853,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,99X,1100 GREAT MALL DRIVE,Oakland,CA
BURG - AUTO,1/18/17 17:30,17-901181,BURGLARY-AUTO,08X,2300 TELEGRAPH AV,Oakland,CA
VANDALISM,1/19/17 17:30,17-901182,VANDALISM,24Y,3800 DALE PL,Oakland,CA
PETTY THEFT,1/17/17 12:20,17-901183,THEFT,25Y,12200 SKYLINE BLVD,Oakland,CA
VANDALISM,1/17/17 18:50,17-901184,VANDALISM,14X,300 MACARTHUR BLVD,Oakland,CA
BURG - AUTO,1/19/17 13:00,17-901185,BURGLARY-AUTO,31Z,800 98TH AV,Oakland,CA
ROBBERY,12/10/16 4:45,16-065143,ROBBERY-OTHER DANGEROUS WEAPON,22Y,3100 ROBINSON DR,Oakland,CA
RECOVERED O/S STOLEN,12/10/16 6:00,16-065145,VEHICLE THEFT - AUTO,23X,800 33RD AV,Oakland,CA
BURG - AUTO,12/28/16 10:00,16-917728,BURGLARY-AUTO,07X,1100 30TH ST,Oakland,CA
FELONY ASSAULT,1/5/17 19:00,17-000885,EXHIBIT FIREARM,29X,4000 EDWARDS AV,Oakland,CA
ROBBERY,12/10/16 6:42,16-065146,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",18Y,2100 E 27TH ST,Oakland,CA
FELONY ASSAULT,1/5/17 21:18,17-000899,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,10X,6200 HERZOG ST,Oakland,CA
BURG - AUTO,1/5/17 21:00,17-000903,BURGLARY-AUTO,03X,300 9TH ST,Oakland,CA
DOMESTIC VIOLENCE,12/10/16 6:59,16-065147,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27Y,5300 WENTWORTH AV,Oakland,CA
ROBBERY,12/10/16 4:00,16-065148,ROBBERY-FIREARM,20X,2300 INTERNATIONAL BLVD,Oakland,CA
FELONY ASSAULT,12/10/16 2:57,16-065150,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,19X,1200 FOOTHILL BLVD,Oakland,CA
DOMESTIC VIOLENCE,12/10/16 7:00,16-065157,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,16Y,1400 MACARTHUR BLVD,Oakland,CA
MISDEMEANOR ASSAULT,12/10/16 8:00,16-065159,BATTERY,29X,2800 55TH AV,Oakland,CA
VANDALISM,12/10/16 8:30,16-065160,VANDALISM:DAMAGE PROPERTY,26Y,800 69TH AV,Oakland,CA
MISDEMEANOR ASSAULT,1/11/17 13:29,17-001869,DISTURB THE PEACE,29X,6800 FOOTHILL BLVD,Oakland,CA
RECOVERED O/S STOLEN,1/11/17 13:56,17-001872,VEHICLE THEFT - AUTO,02Y,CHASE ST & MCELROY ST,Oakland,CA
MISDEMEANOR ASSAULT,1/6/17 20:00,17-001581,BATTERY,35Y,10700 FALLBROOK WY,Oakland,CA
MISDEMEANOR ASSAULT,12/10/16 16:49,16-065230,BATTERY,03Y,500 8TH ST,Oakland,CA
PETTY THEFT,1/10/17 19:45,17-001904,THEFT,31Y,600 TYLER ST,Oakland,CA
BURG - AUTO,1/2/17 17:00,17-000613,BURGLARY-AUTO,31Z,800 107TH AV,Oakland,CA
STOLEN VEHICLE,12/10/16 12:27,16-065234,VEHICLE THEFT - AUTO,31Y,9900 EMPIRE RD,Oakland,CA
MISDEMEANOR ASSAULT,12/10/16 18:00,16-065239,BATTERY,29X,2600 60TH AV,Oakland,CA
ROBBERY,12/10/16 20:32,16-065253,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",23X,1300 33RD AV,Oakland,CA
BURG - AUTO,12/10/16 17:12,16-065254,BURGLARY-AUTO,19X,200 FOOTHILL BLVD,Oakland,CA
ROBBERY,12/10/16 21:15,16-065257,ROBBERY-FIREARM,17Y,1100 E 24TH ST,Oakland,CA
DISORDERLY CONDUCT,1/11/17 16:30,17-001905,DISTURB THE PEACE,24Y,3500 MANGELS AV,Oakland,CA
NARCOTICS,12/10/16 4:23,16-065140,POSSESS CONTROLLED SUBSTANCE,12Y,5600 COLLEGE AV,Oakland,CA
MISDEMEANOR ASSAULT,12/10/16 11:19,16-065191,BATTERY,23X,4000 ALAMEDA AV,Oakland,CA
THREATS,12/10/16 8:00,16-065192,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,02X,700 MARKET ST,Oakland,CA
BURG - AUTO,12/10/16 10:12,16-065193,BURGLARY-AUTO,23X,4000 ALAMEDA AV,Oakland,CA
MISDEMEANOR ASSAULT,12/10/16 12:45,16-065197,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,14X,200 BAY PL,Oakland,CA
ROBBERY,12/10/16 14:27,16-065208,ROBBERY-FIREARM,23X,3300 INTERNATIONAL BLVD,Oakland,CA
ARSON,12/10/16 15:40,16-065214,MAL SET/ETC FIRE PROP/ETC - MOTOR VEHICLES,31Y,600 CLARA ST,Oakland,CA
STOLEN VEHICLE,12/10/16 15:49,16-065215,VEHICLE THEFT - AUTO,26X,46TH AV & INTERNATIONAL BLVD,Oakland,CA
OTHER,12/10/16 16:09,16-065218,OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,25X,BUELL ST & STEELE ST,Oakland,CA
STOLEN AND RECOVERED VEHICLE,12/10/16 16:20,16-065221,ATTEMPT VEHICLE THEFT-AUTO,32X,9800 INTERNATIONAL BLVD,Oakland,CA
MISDEMEANOR ASSAULT,12/10/16 13:00,16-065223,BATTERY,04X,500 16TH ST,Oakland,CA
STOLEN VEHICLE,12/10/16 1:00,16-065224,VEHICLE THEFT - AUTO,18X,1800 22ND AV,Oakland,CA
STOLEN VEHICLE,12/10/16 9:21,16-065225,VEHICLE THEFT - AUTO,31Y,00 HAZELWOOD CT,Oakland,CA
MISDEMEANOR ASSAULT,12/10/16 0:00,16-065229,BATTERY,06X,600 25TH ST,Oakland,CA
RECOVERED O/S STOLEN,12/10/16 1:09,16-065121,VEHICLE THEFT - AUTO,26Y,1000 77TH AV,Oakland,CA
MISDEMEANOR ASSAULT,12/10/16 2:00,16-065123,BATTERY,04X,2100 FRANKLIN ST,Oakland,CA
THREATS,12/10/16 0:00,16-065126,THREAT CRIME:INT:TERRORIZE,30X,6800 HALLIDAY AV,Oakland,CA
BURG - AUTO,12/10/16 0:17,16-065127,BURGLARY-AUTO,35X,8700 HILLSIDE ST,Oakland,CA
FELONY ASSAULT,12/10/16 1:29,16-065128,BATTERY W/SERIOUS BODILY INJURY,21X,2400 E 23RD ST,Oakland,CA
VANDALISM,12/10/16 1:51,16-065134,VANDALISM $400 OR MORE,15X,200 ATHOL AV,Oakland,CA
THREATS,12/10/16 12:00,16-065263,THREAT CRIME:INT:TERRORIZE,03Y,1300 CLAY ST,Oakland,CA
PROSTITUTION,1/5/17 18:50,17-000882,LOITER:INTENT:PROSTITUTION,19X,1700 INTERNATIONAL BLVD,Oakland,CA
BURG - AUTO,12/28/16 20:45,16-917727,BURGLARY-AUTO,08X,400 W GRAND AV,Oakland,CA
BURG - RESIDENTIAL,12/24/16 23:00,16-917574,BURGLARY-FORCIBLE ENTRY,77X,WASHINGTON ST,Oakland,CA
PETTY THEFT,12/10/16 8:00,16-011381,THEFT,13Z,2200 MOUNTAIN BLVD,Oakland,CA
RECOVERED O/S STOLEN,12/10/16 0:45,16-065114,VEHICLE THEFT - AUTO,26Y,1000 77TH AV,Oakland,CA
BURG - RESIDENTIAL,12/10/16 19:00,16-065120,BURGLARY-NO FORCE,19X,2100 FOOTHILL BLVD,Oakland,CA
PROSTITUTION,1/5/17 17:35,17-000861,DISORDERLY CONDUCT:PROSTITUTION,23X,DERBY AVE & INTERNATIONAL BLVD,Oakland,CA
NARCOTICS,1/5/17 17:57,17-000866,POSSESS NARCOTIC CONTROLLED SUBSTANCE,06X,32ND ST & SAN PABLO AV,Oakland,CA
VANDALISM,1/5/17 18:05,17-000867,VANDALISM:DAMAGE PROPERTY,07X,2200 MAGNOLIA ST,Oakland,CA
BURG - AUTO,1/19/17 12:00,17-901175,BURGLARY-AUTO,34X,9000 INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,1/5/17 18:20,17-000872,LOITER:INTENT:PROSTITUTION,19X,1400 BLK E 17TH ST,Oakland,CA
BURG - AUTO,1/17/17 5:00,17-901176,BURGLARY-FORCIBLE ENTRY,77X,700 E WINDSOR RD,Oakland,CA
VANDALISM,1/18/17 15:45,17-901177,VANDALISM,13Z,2100 MOUNTAIN BLVD,Oakland,CA
FELONY ASSAULT,1/5/17 18:36,17-000873,ADW WITH FORCE: POSSIBLE GBI,12Y,5200 BROADWAY,Oakland,CA
STOLEN VEHICLE,1/2/17 8:30,17-001677,VEHICLE THEFT - AUTO,23X,4200 INTERNATIONAL BLVD,Oakland,CA
RECOVERED O/S STOLEN,1/5/17 18:50,17-000875,VEHICLE THEFT - AUTO,32X,101ST AV & E ST,Oakland,CA
DOMESTIC VIOLENCE,1/5/17 15:30,17-000877,INFLICT CRPL INJ SP/COHAB,29X,7000 MACARTHUR BLVD,Oakland,CA
PETTY THEFT,1/5/17 13:00,17-000878,PETTY THEFT,03X,4100 BROADWAY,Oakland,CA
DISORDERLY CONDUCT,11/30/16 12:45,16-063764,DISRUPT SCHOOL ACTIVITIES (AMENDED),13Z,5500 ASCOT DR,Oakland,CA
VANDALISM,12/21/16 16:25,16-067607,VANDALISM (AMENDED),04X,1500 HARRISON ST,Oakland,CA
BURG - RESIDENTIAL,12/27/16 15:00,16-068438,BURGLARY-FORCIBLE ENTRY,12X,500 41ST ST,Oakland,CA
BURG - RESIDENTIAL,1/11/17 8:15,17-001960,BURGLARY-FORCIBLE ENTRY,20X,1500 26TH AV,Oakland,CA
MISDEMEANOR ASSAULT,1/11/17 8:10,17-001799,DISTURB THE PEACE,32Y,10500 FOOTHILL BLVD,Oakland,CA
PETTY THEFT,1/11/17 8:33,17-001800,THEFT,35X,2800 82ND AV,Oakland,CA
STOLEN VEHICLE,1/10/17 12:00,17-001802,VEHICLE THEFT - AUTO,08X,200 29TH ST,Oakland,CA
GRAND THEFT,11/23/16 11:35,16-062527,GRAND THEFT,31Z,200 FOSTER AV,Oakland,CA
STOLEN VEHICLE,1/11/17 7:55,17-001803,VEHICLE THEFT - AUTO,17Y,900 BAYVIEW AV,Oakland,CA
STOLEN VEHICLE,1/11/17 8:36,17-001809,VEHICLE THEFT - AUTO,22X,1800 LEIMERT BLVD,Oakland,CA
,12/3/16 11:00,16-917253,VANDALISM,12Y,300 63RD ST,Oakland,CA
BURG - RESIDENTIAL,12/31/16 6:45,17-000577,BURGLARY-NO FORCE,35X,8300 NEY AV,Oakland,CA
VANDALISM,1/10/17 23:00,17-001853,VANDALISM,04X,600 21ST ST,Oakland,CA
STOLEN VEHICLE,1/11/17 7:00,17-001857,VEHICLE THEFT - AUTO,24Y,2800 SHORT ST,Oakland,CA
VANDALISM,1/6/17 14:50,17-001472,VANDALISM [UNDER $400],25X,3700 BROWN AV,Oakland,CA
DISORDERLY CONDUCT,1/11/17 20:44,17-001936,DISTURB THE PEACE,30Y,7300 BANCROFT AV,Oakland,CA
RECOVERED O/S STOLEN,1/11/17 21:24,17-001946,VEHICLE THEFT - AUTO,26Y,6800 SAN LEANDRO ST,Oakland,CA
BURG - COMMERCIAL,1/11/17 18:00,17-001947,BURGLARY-FORCIBLE ENTRY,25X,4000 MACARTHUR BLVD,Oakland,CA
BURG - AUTO,1/11/17 22:43,17-001950,BURGLARY-AUTO,12X,300 40TH ST,Oakland,CA
VANDALISM,1/11/17 22:31,17-001951,VANDALISM:DAMAGE PROPERTY,15X,200 LESTER AV,Oakland,CA
BURG - RESIDENTIAL,1/11/17 12:00,17-001952,BURGLARY-FORCIBLE ENTRY,21Y,2900 COOLIDGE AV,Oakland,CA
BURG - AUTO,1/4/17 15:30,17-001082,BURGLARY-AUTO,77X,4900 CALAVERAS AV,Oakland,CA
STOLEN VEHICLE,1/6/17 23:45,17-001314,VEHICLE THEFT - AUTO,30Y,2900 82ND AV,Oakland,CA
STOLEN VEHICLE,1/11/17 16:00,17-001953,VEHICLE THEFT - AUTO,32Y,9800 OLIVE ST,Oakland,CA
DOMESTIC VIOLENCE,1/11/17 22:00,17-001954,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,35X,2400 90TH AV,Oakland,CA
MISCELLANEOUS TRAFFIC CRIME,1/11/17 23:46,17-001958,DUI ALCOHOL/DRUGS,23X,38TH AV,Oakland,CA
MISDEMEANOR ASSAULT,1/10/17 9:45,17-001959,DISTURB THE PEACE,02X,700 13TH ST,Oakland,CA
FRAUD,1/7/17 13:25,17-901308,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,29X,3000 55TH AV,Oakland,CA
PETTY THEFT,12/28/16 23:30,16-917707,THEFT,08X,400 24TH ST,Oakland,CA
VANDALISM,12/24/16 12:00,16-917548,VANDALISM,31X,7000 COLISEUM WY,Oakland,CA
PETTY THEFT,12/20/16 7:24,16-068401,THEFT,03X,BROADWAY & 14TH ST,Oakland,CA
BURG - AUTO,12/24/16 0:30,16-917549,BURGLARY-AUTO,04X,1700 SAN PABLO AV,Oakland,CA
BURG - AUTO,12/28/16 20:00,16-917709,BURGLARY-AUTO,13Z,6100 LA SALLE AV,Oakland,CA
DOMESTIC VIOLENCE,1/5/17 12:00,17-000869,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,03Y,2600 67TH AVE,Oakland,CA
STOLEN VEHICLE,12/30/16 18:00,17-000806,VEHICLE THEFT - AUTO,33X,9400 E ST,Oakland,CA
BURG - AUTO,12/28/16 20:00,16-917714,BURGLARY-AUTO,08X,300 26TH ST,Oakland,CA
PROSTITUTION,1/5/17 17:20,17-000855,DISORDERLY CONDUCT:PROSTITUTION,18X,1400 BLK E 16TH ST,Oakland,CA
BURG - AUTO,12/24/16 0:00,16-917562,BURGLARY-AUTO,13Z,6000 HARBORD DR,Oakland,CA
VANDALISM,12/24/16 15:00,16-917565,VANDALISM,15X,2100 LAKESHORE AV,Oakland,CA
BURG - AUTO,12/28/16 7:00,16-917719,BURGLARY-AUTO,09X,51ST ST & BROADWAY,Oakland,CA
PROSTITUTION,1/5/17 17:28,17-000859,LOITER:INTENT:PROSTITUTION,19X,1400 20TH AV,Oakland,CA
PROSTITUTION,1/5/17 18:20,17-000868,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 18TH AV,Oakland,CA
BURG - AUTO,12/28/16 20:45,16-917701,BURGLARY-AUTO,08X,400 26TH ST,Oakland,CA
STOLEN VEHICLE,12/2/16 20:00,16-064818,VEHICLE THEFT - AUTO,32X,10900 APRICOT ST,Oakland,CA
GRAND THEFT,11/30/16 15:30,16-063758,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,04X,2000 TELEGRAPH AV,Oakland,CA
STOLEN VEHICLE,11/28/16 23:00,16-063238,VEHICLE THEFT - AUTO,10X,900 ARLINGTON AV,Oakland,CA
BURG - AUTO,12/28/16 14:00,16-917702,BURGLARY-AUTO,14X,300 VERNON ST,Oakland,CA
BURG - AUTO,12/24/16 1:35,16-917507,BURGLARY-AUTO,05X,W GRAND AV & SAN PABLO AV,Oakland,CA
VANDALISM,12/24/16 2:40,16-917510,VANDALISM,77X,22ND ST,Oakland,CA
PETTY THEFT,12/24/16 1:10,16-917511,THEFT,04X,17TH ST & JEFFERSON ST,Oakland,CA
BURG - AUTO,12/24/16 0:00,16-917516,BURGLARY-AUTO,10Y,4300 MARTIN LUTHER KING JR W,Oakland,CA
VANDALISM,12/24/16 12:25,16-917524,VANDALISM,77X,HOWE ST,Oakland,CA
BURG - RESIDENTIAL,12/28/16 9:25,16-917705,BURGLARY-FORCIBLE ENTRY,08X,3800 CLARKE ST,Oakland,CA
BURG - AUTO,12/28/16 23:00,16-917706,BURGLARY-AUTO,27X,4800 CONGRESS AV,Oakland,CA
PETTY THEFT,12/24/16 12:25,16-917544,THEFT,30Y,7800 STERLING DR,Oakland,CA
CURFEW & LOITERING,2/2/17 1:40,17-005894,LOITER:INTENT:PROSTITUTION,23X,3900 INTERNATIONAL BLVD,Oakland,CA
DOMESTIC VIOLENCE,2/2/17 2:00,17-005895,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,32X,1300 98TH AV,Oakland,CA
GRAND THEFT,2/2/17 3:00,17-005896,GRAND THEFT FROM PERSON,27Y,6200 INTERNATIONAL BLVD,Oakland,CA
STOLEN VEHICLE,2/2/17 20:00,17-005897,VEHICLE THEFT - AUTO,24X,4100 MERA ST,Oakland,CA
STOLEN VEHICLE,2/1/17 17:39,17-005898,VEHICLE THEFT - AUTO,31Z,400 DOUGLAS AV,Oakland,CA
STOLEN VEHICLE,1/31/17 23:00,17-005918,VEHICLE THEFT - AUTO,26Y,1100 73RD AV,Oakland,CA
VANDALISM,12/28/16 20:10,16-917695,VANDALISM,14Y,3200 GRAND AV,Oakland,CA
DOMESTIC VIOLENCE,2/1/17 23:45,17-005920,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,26Y,900 75TH AV,Oakland,CA
DOMESTIC VIOLENCE,2/2/17 7:30,17-005921,BATTERY:SPOUSE/ETC,27X,1800 VICKSBURG AV,Oakland,CA
MISDEMEANOR ASSAULT,2/2/17 6:31,17-005902,BATTERY,29X,7200 MACARTHUR BLVD,Oakland,CA
ROBBERY,2/2/17 6:00,17-005904,ROBBERY-KNIFE OR CUTTING INSTRUMENT,04X,1400 FRANKLIN ST,Oakland,CA
BURG - AUTO,2/2/17 5:00,17-005905,BURGLARY-AUTO,19X,1200 EMBARCADERO,Oakland,CA
VANDALISM,12/28/16 19:00,16-917698,VANDALISM,08X,24TH ST & WEBSTER ST,Oakland,CA
PETTY THEFT,12/9/16 16:35,16-916979,THEFT,01X,100 JACKSON ST,Oakland,CA
RECOVERED O/S STOLEN,1/4/17 0:01,17-000849,VEHICLE THEFT - AUTO,19X,400 EMBARCADERO,Oakland,CA
DOMESTIC VIOLENCE,1/10/17 20:36,17-001747,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,02X,800 MANDELA PKWY,Oakland,CA
FELONY ASSAULT,1/10/17 21:15,17-001749,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,08X,500 37TH ST,Oakland,CA
STOLEN VEHICLE,1/4/17 22:00,17-000865,VEHICLE THEFT - AUTO,33X,1200 94TH AV,Oakland,CA
ROBBERY,1/10/17 22:00,17-001750,ROBBERY-OTHER DANGEROUS WEAPON,08X,200 OAKLAND AV,Oakland,CA
FELONY ASSAULT,1/11/17 18:30,17-001928,ASSAULT WITH FIREARM ON PERSON,27X,4400 INTERNATIONAL BLVD,Oakland,CA
DOMESTIC VIOLENCE,1/11/17 20:05,17-001930,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,22X,00 MELVIN CT,Oakland,CA
STOLEN VEHICLE,1/11/17 7:30,17-001932,VEHICLE THEFT - AUTO,23X,1700 35TH AV,Oakland,CA
OTHER,1/11/17 19:32,17-001933,DISTURB THE PEACE,31Z,100 CATRON DR,Oakland,CA
STOLEN VEHICLE,1/10/17 9:00,17-001935,VEHICLE THEFT - AUTO,26Y,1100 77TH AV,Oakland,CA
STOLEN VEHICLE,11/23/16 10:00,16-062386,VEHICLE THEFT - AUTO,24Y,3300 39TH AV,Oakland,CA
THREATS,11/23/16 13:00,16-062389,THREAT CRIME:INT:TERRORIZE,03Y,14TH ST & JEFFERSON ST,Oakland,CA
STOLEN VEHICLE,11/14/16 20:00,16-060722,VEHICLE THEFT - AUTO,19X,1100 9TH AV,Oakland,CA
DISORDERLY CONDUCT,2/1/17 10:30,17-005886,FIGHT/CHALLENGE IN PUBLIC PLACE,24X,3700 BROOKDALE AV,Oakland,CA
STOLEN VEHICLE,2/2/17 1:09,17-005889,VEHICLE THEFT - AUTO,34X,1900 90TH AV,Oakland,CA
